Parameter,Life years saved,Overall survival probability,Survival probability by group_16-39,Survival probability by group_40-49,Survival probability by group_50-59,Survival probability by group_60-69,Survival probability by group_70-79,Survival probability by group_80+,Coefficient of variation of survival probabilities by group,CCU probability by group_16-39,CCU probability by group_40-49,CCU probability by group_50-59,CCU probability by group_60-69,CCU probability by group_70-79,CCU probability by group_80+,Coefficient of variation of CCU probabilities by group
regression_tree0,237391.5,0.13050033,0.195905737,0.178638435,0.14231486,0.113851631,0.085607554,0.058899676,0.375781367,0.230421328,0.227016886,0.217544344,0.218803636,0.216768704,0.153398058,0.12390849
regression_tree1,175341,0.117836615,0.126636515,0.115250603,0.093105114,0.073485475,0.210750233,0.210355987,0.388945621,0.147583909,0.146877513,0.139485127,0.141376899,0.531389437,0.532038835,0.669553622
regression_tree2,266912.5,0.13707717,0.223280171,0.209193246,0.169024777,0.129934524,0.025630383,0.022653722,0.619697979,0.261128303,0.263870276,0.253571675,0.250333736,0.065476808,0.062135922,0.473631562
regression_tree3,316476.5,0.141166494,0.723637229,0.129589922,0.102905653,0.083465768,0.060911072,0.060194175,1.231972129,0.849797667,0.163629054,0.154185934,0.160511093,0.158036733,0.148867314,0.94756445
regression_tree4,204400,0.124451145,0.093549155,0.08630394,0.163986472,0.131396605,0.100238663,0.102265372,0.237195817,0.109973816,0.110158135,0.252812478,0.252304367,0.25339836,0.243365696,0.325394217
regression_tree5,332558,0.144973146,0.722447036,0.151969981,0.120091104,0.095988812,0.025319083,0.019417476,1.285389664,0.847893359,0.191235594,0.179377459,0.184095099,0.063297707,0.058252427,1.068204966
regression_tree6,211817,0.126392161,0.15900976,0.142053069,0.11567396,0.138134893,0.106464667,0.067313916,0.244785913,0.188050464,0.183060842,0.174201118,0.263111055,0.269793504,0.172815534,0.198272248
regression_tree7,162115,0.118383115,0.04641752,0.089252211,0.072261716,0.186447143,0.144650825,0.030420712,0.57563879,0.055462985,0.112570356,0.108772172,0.357447079,0.36359863,0.073139159,0.729486519
regression_tree8,167967,0.115707152,0.115686741,0.109086036,0.088342881,0.069099231,0.222994708,0.209708738,0.434386525,0.13568198,0.135754489,0.130443785,0.133430805,0.574245097,0.558576052,0.733680394
regression_tree9,316315.5,0.141109959,0.723161152,0.129589922,0.102905653,0.083275062,0.061014839,0.060841424,1.230685338,0.850035706,0.163495042,0.15432397,0.160320386,0.158244267,0.150161812,0.946603416
regression_tree10,216967,0.127127108,0.169959533,0.163763066,0.129270481,0.101773568,0.075438414,0.394174757,0.606127441,0.198048084,0.205172876,0.19428532,0.193312568,0.196949258,0.999352751,0.902322311
regression_tree11,188918.5,0.12239706,0.057605332,0.05293487,0.159362275,0.146843812,0.110615337,0.11197411,0.377900209,0.069031183,0.065264004,0.238180689,0.281863836,0.281000311,0.275080906,0.477371869
regression_tree12,304273.5,0.142127579,0.283741966,0.267890646,0.218096487,0.049520056,0.037771091,0.031067961,0.746412322,0.331349679,0.338783168,0.327006695,0.097768737,0.097644495,0.086084142,0.560219047
regression_tree13,216505.5,0.12697635,0.17543442,0.159608684,0.128097177,0.101328587,0.077928816,0.394174757,0.603830676,0.207093549,0.201688555,0.193042998,0.194011824,0.197986925,0.999352751,0.898261318
regression_tree14,237257.5,0.130952605,0.191383004,0.180246583,0.143488163,0.112135274,0.086852755,0.077669903,0.329888184,0.222566056,0.225006701,0.214852647,0.21454453,0.223306008,0.200647249,0.038251492
regression_tree15,241285.5,0.131706398,0.194239467,0.183998928,0.146801021,0.114169474,0.088201723,0.017475728,0.485291237,0.226612711,0.229295095,0.220167023,0.218167949,0.22673031,0.049838188,0.33359019
regression_tree16,282565.5,0.13907472,0.3808617,0.352050389,0.081372075,0.064712987,0.04731763,0.323624595,0.696681005,0.442751726,0.442374698,0.120919318,0.125802555,0.124312545,0.817475728,0.736964679
regression_tree17,264914,0.135663809,0.288740776,0.263468239,0.118365657,0.096306656,0.070872678,0.069255663,0.596466604,0.343727684,0.336638971,0.177099869,0.183268705,0.183252049,0.173462783,0.326135189
regression_tree18,223874.5,0.128483935,0.180195192,0.16684535,0.132859411,0.107812599,0.080211684,0.273139159,0.394935002,0.212568436,0.209863307,0.201049072,0.205072786,0.205043063,0.686084142,0.623441936
regression_tree19,231882.5,0.13100914,0.090454654,0.084829804,0.210021396,0.166613693,0.025319083,0.020064725,0.696298691,0.106165199,0.108013937,0.317275174,0.318479436,0.063401473,0.058899676,0.689883625
regression_tree20,168064.5,0.11585791,0.114972626,0.108415974,0.088964042,0.069417075,0.222890941,0.211650485,0.436098363,0.135443942,0.134682391,0.130995928,0.134066493,0.572377296,0.561812298,0.734234547
regression_tree21,227164,0.129972675,0.079266841,0.076387028,0.210021396,0.166677261,0.029988586,0.025889968,0.695662078,0.093549155,0.097024926,0.31741321,0.318733711,0.077928816,0.071197411,0.677901464
regression_tree22,242460,0.131291812,0.215424899,0.195389976,0.137828698,0.107494756,0.082287019,0.07961165,0.387133959,0.258033801,0.25261324,0.206087377,0.205708474,0.214070769,0.196116505,0.10854042
regression_tree23,198033,0.122962405,0.057843371,0.05521308,0.180412727,0.138325599,0.106672201,0.033656958,0.542142424,0.069031183,0.0684803,0.269790876,0.26997648,0.276434575,0.097734628,0.55541264
regression_tree24,271461,0.134457741,0.500595096,0.134012329,0.107460832,0.085690674,0.101172564,0.098381877,0.86452506,0.588193287,0.16858751,0.1598454,0.163562393,0.256303829,0.246601942,0.569563953
