Parameter,CCU probability by group_16-39,CCU probability by group_40-49,CCU probability by group_50-59,CCU probability by group_60-69,CCU probability by group_70-79,CCU probability by group_80+,Coefficient of variation of CCU probabilities by group,Life years saved,Overall survival probability,Survival probability by group_16-39,Survival probability by group_40-49,Survival probability by group_50-59,Survival probability by group_60-69,Survival probability by group_70-79,Survival probability by group_80+,Coefficient of variation of survival probabilities by group
regression_tree0,0.41463985,0.419031484,0.412059621,0.410616856,0.419707277,0.294894895,0.113782218,442796.5,0.246339395,0.352198316,0.329944939,0.268563686,0.217857372,0.172850959,0.116516517,0.343040621
regression_tree1,0.314780168,0.31822674,0.309214092,0.307400989,0.812822099,0.818618619,0.494186513,362403.5,0.230358994,0.270112254,0.251729493,0.199796748,0.162911612,0.334364049,0.333333333,0.245072439
regression_tree2,0.462347989,0.461668784,0.461246612,0.455035625,0.214079571,0.223423423,0.299810318,479177.5,0.253519269,0.393592142,0.364393619,0.3,0.242056615,0.087610802,0.084084084,0.499397071
regression_tree3,0.999766137,0.358322745,0.350474255,0.352525836,0.358173572,0.359159159,0.51836478,516670,0.255252992,0.851496726,0.282648595,0.227710027,0.186725721,0.145227788,0.133933934,0.819491586
regression_tree4,0.244153414,0.247211633,0.458875339,0.459143719,0.466089466,0.456456456,0.260238904,395737.5,0.237388109,0.207202993,0.196103346,0.298644986,0.241029591,0.19109462,0.183183183,0.181738947
regression_tree5,0.999766137,0.397430467,0.396815718,0.386802747,0.210368996,0.221021021,0.607993535,542935.5,0.26143409,0.851496726,0.315261895,0.257723577,0.206816869,0.086064729,0.082882883,0.868852318
regression_tree6,0.369270346,0.37173514,0.359214092,0.462995057,0.473613688,0.371771772,0.118505313,411352,0.240554038,0.314546305,0.291684315,0.231707317,0.24359715,0.195320552,0.146546547,0.237168157
regression_tree7,0.211646399,0.25384724,0.24600271,0.608318891,0.619356834,0.24984985,0.484139919,338925.5,0.229341374,0.178203929,0.202033037,0.159078591,0.321715129,0.253246753,0.096096096,0.353904909
regression_tree8,0.292095416,0.293660878,0.285433604,0.285897683,0.905380334,0.908108108,0.587957856,344456,0.226891548,0.249064546,0.232669773,0.185433604,0.151935298,0.373531231,0.35975976,0.319248033
regression_tree10,0.389616464,0.397148101,0.395054201,0.388920983,0.39569161,1,0.457377088,424277.5,0.243022708,0.331618335,0.313285331,0.257317073,0.207202003,0.161306947,0.401201201,0.286918765
regression_tree11,0.220533209,0.22349287,0.507859079,0.43969446,0.451041022,0.449249249,0.301640964,400343,0.238141901,0.185687558,0.176761259,0.330758808,0.23236408,0.18439497,0.18018018,0.255940636
regression_tree12,0.577408793,0.576874206,0.576287263,0.233134348,0.235621521,0.247447447,0.414715399,537579,0.261132573,0.489943873,0.454609629,0.374932249,0.122857693,0.096165739,0.096696697,0.627239164
regression_tree13,0.395229186,0.404066074,0.391056911,0.388664227,0.395073181,1,0.455108579,424966,0.24279657,0.337932647,0.319638571,0.253523035,0.206303357,0.159863946,0.401201201,0.292534946
regression_tree14,0.413704397,0.41705492,0.410501355,0.406123628,0.411049268,0.418018018,0.009844158,441076.5,0.245792896,0.351964453,0.329662572,0.266937669,0.216573593,0.167697382,0.157357357,0.300797374
regression_tree15,0.419317119,0.422843428,0.416666667,0.411900635,0.418058132,0.216216216,0.19569803,446473,0.246942429,0.356875585,0.334039249,0.270731707,0.219975608,0.170480313,0.081081081,0.396904159
regression_tree16,0.803554724,0.801778907,0.270460705,0.26856666,0.27458256,0.849249249,0.502924099,530265,0.261735607,0.684752105,0.635324015,0.175406504,0.142050196,0.112141826,0.342942943,0.666088946
regression_tree17,0.470299345,0.478893124,0.389701897,0.388664227,0.398165327,0.399399399,0.090973153,454329,0.248035428,0.400140318,0.373570521,0.253929539,0.206239168,0.163574521,0.154354354,0.373242733
regression_tree18,0.401075772,0.407878018,0.399728997,0.397522306,0.40579262,0.730930931,0.267933132,431385,0.243964949,0.342609916,0.322179867,0.259756098,0.210411451,0.165017522,0.291891892,0.233461508
regression_tree19,0.249532273,0.251305944,0.548915989,0.541048848,0.210884354,0.221021021,0.438130199,434460,0.245905964,0.211880262,0.200197656,0.357520325,0.287245651,0.0861678,0.082282282,0.486707803
regression_tree20,0.291627689,0.29648454,0.286111111,0.286475384,0.902082045,0.905705706,0.58480846,345015.5,0.226872703,0.248129093,0.235069886,0.18597561,0.152127864,0.371366729,0.357357357,0.315040262
regression_tree21,0.2404116,0.244811521,0.548915989,0.541048848,0.218923933,0.229429429,0.436258218,431099,0.245171017,0.203928906,0.193985599,0.357520325,0.287245651,0.089569161,0.085885886,0.482764594
regression_tree22,0.38049579,0.389241847,0.420867209,0.415431029,0.420841064,0.427627628,0.043180757,431474.5,0.243474984,0.324602432,0.302273048,0.272764228,0.220874254,0.170686456,0.160960961,0.25858909
regression_tree23,0.226379794,0.227304814,0.476693767,0.470505167,0.479179551,0.251651652,0.339123645,396413,0.237991143,0.191066417,0.179584922,0.309823848,0.251235638,0.195217481,0.095495495,0.323371023
regression_tree24,0.986903648,0.357616829,0.347628726,0.343988703,0.377447949,0.386186186,0.49967987,512935.5,0.254970319,0.840739008,0.283354511,0.225542005,0.182746004,0.154607297,0.151351351,0.793850388
regression_tree25,0.999766137,0.219680926,0.380826558,0.373644008,0.381880025,0.39039039,0.54529544,501729,0.252218977,0.851496726,0.173090498,0.246680217,0.199435137,0.156668728,0.14954955,0.845620376
